distance_km,prep_minutes,weather,order_hour,late
11.87,6,cloudy,16,1
3.37,11,cloudy,10,0
1.54,10,clear,15,0
1.45,17,cloudy,21,1
11.02,5,clear,21,1
3.64,26,clear,10,1
7.1,27,cloudy,16,0
13.41,39,clear,20,1
5.98,45,cloudy,19,1
12.98,7,cloudy,15,0
17.75,19,clear,20,1
11.81,28,clear,19,1
12.39,9,cloudy,13,0
5.16,34,rain,16,0
11.88,40,clear,18,0
14.19,19,clear,18,1
2.13,41,cloudy,18,1
9.49,34,clear,16,1
13.66,39,rain,21,1
7.79,19,clear,23,1
1.8,12,clear,13,0
8.18,9,rain,20,0
8.96,21,cloudy,8,0
2.95,39,rain,18,1
8.39,34,clear,16,0
13.95,37,clear,17,0
9.63,17,clear,19,0
10.17,38,clear,18,1
2.9,28,rain,15,1
15.93,10,clear,23,0
17.63,39,clear,12,1
17.1,15,rain,21,0
16.79,17,cloudy,17,1
12.42,28,rain,22,1
4.82,26,clear,15,0
1.12,45,clear,15,1
1.53,26,clear,15,1
9.25,39,clear,23,1
9.04,31,clear,11,1
8.33,32,rain,22,0
1.92,11,clear,20,0
14.61,11,clear,14,1
8.63,32,clear,16,1
15.87,9,rain,11,1
17.99,5,clear,15,1
9.26,18,rain,9,1
1.04,29,rain,22,1
12.84,40,cloudy,23,1
6.04,8,cloudy,9,0
1.97,42,rain,13,1
9.63,16,clear,10,0
5.0,12,cloudy,15,0
1.68,10,rain,18,0
4.47,25,clear,16,1
12.42,24,rain,18,0
16.91,5,rain,11,1
4.62,21,clear,19,0
15.95,28,rain,13,1
10.23,24,cloudy,8,0
10.43,11,clear,16,1
2.82,40,clear,16,1
4.58,26,clear,16,0
5.27,8,clear,21,0
1.75,26,clear,16,1
8.51,32,cloudy,8,1
17.07,14,cloudy,9,0
10.9,14,rain,12,1
7.2,7,rain,14,0
12.34,27,cloudy,21,0
13.74,20,clear,13,0
1.42,26,rain,15,1
14.39,11,rain,9,0
4.78,34,rain,17,0
15.81,19,clear,14,1
5.74,9,rain,19,0
7.79,39,rain,8,1
17.5,16,cloudy,16,1
11.14,27,cloudy,18,1
17.73,12,rain,14,1
13.05,5,cloudy,14,1
2.19,26,cloudy,18,0
3.12,24,cloudy,17,0
6.55,23,cloudy,12,1
12.3,29,cloudy,13,0
6.12,40,clear,17,1
8.31,42,cloudy,18,1
8.52,18,cloudy,23,0
17.32,15,cloudy,10,1
12.29,44,rain,10,1
13.77,24,clear,14,1
1.79,35,cloudy,10,0
16.06,41,clear,20,1
5.15,5,clear,21,1
14.67,38,rain,9,1
16.6,12,rain,12,0
12.35,40,cloudy,18,0
16.15,44,cloudy,21,0
10.31,15,cloudy,23,1
13.78,45,rain,23,1
5.67,9,cloudy,17,1
6.71,39,clear,12,1
7.51,14,cloudy,14,1
7.93,39,rain,21,1
15.16,29,cloudy,8,0
14.02,29,rain,8,0
6.08,29,rain,15,1
5.64,36,clear,20,1
12.55,30,cloudy,13,0
16.63,44,cloudy,8,0
11.06,6,clear,21,1
8.85,8,rain,20,1
8.73,26,rain,16,0
15.14,21,clear,23,1
10.17,27,clear,10,0
12.08,6,clear,14,0
11.56,20,clear,23,0
10.59,18,rain,16,0
3.85,43,cloudy,11,0
3.78,24,clear,8,0
10.79,29,rain,14,1
12.74,45,clear,11,1
6.13,43,clear,9,1
8.28,28,clear,18,1
8.14,36,clear,21,0
11.8,34,cloudy,12,1
13.47,22,cloudy,23,1
15.04,42,rain,18,1
15.12,10,rain,22,1
8.9,44,cloudy,20,1
9.4,25,clear,23,1
14.56,26,rain,16,1
9.78,17,clear,15,0
9.31,20,cloudy,23,0
9.34,6,clear,17,1
12.76,24,cloudy,19,1
10.03,32,cloudy,18,1
8.71,24,rain,15,1
4.27,12,cloudy,13,1
13.56,22,cloudy,17,0
15.15,23,clear,19,1
1.24,39,clear,16,1
1.93,23,cloudy,12,0
13.8,11,clear,17,1
8.49,16,clear,16,0
9.12,9,rain,23,1
11.7,8,clear,12,0
17.14,10,clear,11,0
8.07,43,cloudy,15,0
7.47,33,rain,21,1
11.56,44,cloudy,11,0
4.53,18,rain,10,1
3.95,9,clear,8,0
12.72,35,rain,9,1
13.02,34,clear,15,0
14.39,45,cloudy,14,1
10.26,14,rain,12,1
3.82,24,cloudy,17,0
8.97,24,cloudy,20,0
9.51,36,rain,10,1
16.12,25,cloudy,16,1
4.89,41,cloudy,8,0
12.43,22,cloudy,9,0
3.98,38,cloudy,22,0
4.09,42,rain,23,0
8.99,31,rain,18,1
15.58,26,rain,23,1
17.07,40,clear,22,1
5.29,12,rain,8,0
10.22,31,clear,14,1
11.58,36,cloudy,22,0
4.46,40,clear,17,1
12.87,12,clear,15,0
6.28,5,cloudy,21,1
17.87,12,rain,11,1
3.62,23,cloudy,16,0
9.2,35,clear,22,1
7.52,43,cloudy,12,0
5.7,31,rain,16,0
5.81,24,cloudy,23,0
8.59,35,rain,18,1
10.24,34,rain,14,0
5.06,29,clear,21,1
13.66,29,rain,12,1
1.63,37,cloudy,18,0
15.86,33,clear,22,1
3.45,14,clear,23,0
5.51,44,cloudy,20,0
15.48,39,rain,18,1
16.09,36,cloudy,9,1
4.99,23,clear,10,0
2.67,45,cloudy,11,1
12.8,6,clear,18,0
5.99,28,rain,12,1
8.0,16,clear,13,1
15.8,44,cloudy,15,1
10.91,19,rain,16,1
12.34,34,rain,13,1
17.07,42,rain,21,1
8.77,24,clear,20,0
2.81,29,cloudy,19,0
17.88,23,clear,20,1
10.62,8,cloudy,23,0
16.35,19,cloudy,19,1
4.23,21,cloudy,12,0
16.36,7,rain,22,1
7.2,13,clear,17,1
8.06,17,clear,19,0
16.53,15,rain,23,0
6.02,26,clear,22,0
3.39,19,cloudy,20,0
14.68,28,clear,20,1
10.12,34,rain,16,1
14.98,28,clear,15,1
11.53,40,rain,15,1
11.8,34,cloudy,17,0
2.98,7,clear,17,0
2.97,20,cloudy,12,0
7.31,39,rain,12,0
12.13,36,cloudy,21,0
5.76,28,clear,22,1
5.01,28,clear,19,0
17.62,27,clear,20,1
17.46,34,clear,14,1
11.15,6,clear,18,1
3.14,41,clear,10,0
10.42,42,clear,15,1
3.51,43,clear,16,0
3.46,13,cloudy,16,0
2.87,6,clear,8,0
14.4,42,rain,8,1
1.89,31,cloudy,11,0
9.1,28,cloudy,11,1
4.77,44,clear,17,1
17.39,8,rain,20,1
2.84,33,clear,10,1
3.52,13,rain,18,1
11.16,23,rain,21,1
12.93,40,cloudy,14,1
16.1,31,rain,22,1
13.4,25,rain,18,1
